stat,diyabc_mean,diyabc_std,msprime_mean,msprime_std,rdiff_%,ks_stat,p_value
ML1p_1,0.5945,0.0488,0.5574,0.049,-6.2258,0.304,0.0
ML1p_2,0.5945,0.049,0.5514,0.0499,-7.2465,0.317,0.0
ML1p_3,0.5971,0.0487,0.548,0.0502,-8.2278,0.379,0.0
HWm_1,0.0942,0.0154,0.1025,0.0156,8.7733,0.209,0.0
HWv_1,0.0239,0.0042,0.0251,0.0039,4.8294,0.124,0.0
HWm_2,0.0947,0.0158,0.1047,0.0157,10.5853,0.251,0.0
HWv_2,0.0242,0.0043,0.0256,0.0039,6.0275,0.157,0.0
HWm_3,0.0943,0.0152,0.1055,0.0164,11.8496,0.276,0.0
HWv_3,0.0241,0.0042,0.0257,0.0042,6.4625,0.165,0.0
HBm_1.2,0.1412,0.0204,0.13,0.0176,-7.9472,0.261,0.0
HBv_1.2,0.04,0.0088,0.0315,0.0057,-21.3821,0.471,0.0
HBm_1.3,0.141,0.0206,0.1303,0.0176,-7.5919,0.225,0.0
HBv_1.3,0.04,0.009,0.0315,0.0057,-21.1832,0.451,0.0
HBm_2.3,0.1419,0.0206,0.1581,0.021,11.3756,0.313,0.0
HBv_2.3,0.0403,0.009,0.0424,0.0086,5.1048,0.109,0.0
