   Scenario         N1            N2            N3            N4            t1            t2            d3           Nbn3           d4           Nbn4          N34            t3           d34          Nbn34           t4            Na        AMLm_1.2.3    AMLm_1.2.4    AMLm_1.3.4    AMLm_2.1.3    AMLm_2.1.4    AMLm_2.3.4    AMLm_3.1.2    AMLm_3.1.4    AMLm_3.2.4    AMLm_4.1.2    AMLm_4.1.3    AMLm_4.2.3    AMLv_1.2.3    AMLv_1.2.4    AMLv_1.3.4    AMLv_2.1.3    AMLv_2.1.4    AMLv_2.3.4    AMLv_3.1.2    AMLv_3.1.4    AMLv_3.2.4    AMLv_4.1.2    AMLv_4.1.3    AMLv_4.2.3    F3m_1.2.3     F3m_1.2.4     F3m_1.3.4     F3m_2.1.3     F3m_2.1.4     F3m_2.3.4     F3m_3.1.2     F3m_3.1.4     F3m_3.2.4     F3m_4.1.2     F3m_4.1.3     F3m_4.2.3     F3v_1.2.3     F3v_1.2.4     F3v_1.3.4     F3v_2.1.3     F3v_2.1.4     F3v_2.3.4     F3v_3.1.2     F3v_3.1.4     F3v_3.2.4     F3v_4.1.2     F3v_4.1.3     F3v_4.2.3    F4m_1.2.3.4   F4m_1.3.2.4   F4m_1.4.2.3   F4v_1.2.3.4   F4v_1.3.2.4   F4v_1.4.2.3     FST1m_1       FST1m_2       FST1m_3       FST1m_4       FST1v_1       FST1v_2       FST1v_3       FST1v_4      FST2m_1.2     FST2m_1.3     FST2m_1.4     FST2m_2.3     FST2m_2.4     FST2m_3.4     FST2v_1.2     FST2v_1.3     FST2v_1.4     FST2v_2.3     FST2v_2.4     FST2v_3.4    FST3m_1.2.3   FST3m_1.2.4   FST3m_1.3.4   FST3m_2.3.4   FST3v_1.2.3   FST3v_1.2.4   FST3v_1.3.4   FST3v_2.3.4  FST4m_1.2.3.4 FST4v_1.2.3.4    HBm_1.2       HBm_1.3       HBm_1.4       HBm_2.3       HBm_2.4       HBm_3.4       HBv_1.2       HBv_1.3       HBv_1.4       HBv_2.3       HBv_2.4       HBv_3.4        HWm_1         HWm_2         HWm_3         HWm_4         HWv_1         HWv_2         HWv_3         HWv_4         ML1p_1        ML1p_2        ML1p_3        ML1p_4       ML2p_1.2      ML2p_1.3      ML2p_1.4      ML2p_2.3      ML2p_2.4      ML2p_3.4     ML3p_1.2.3    ML3p_1.2.4    ML3p_1.3.4    ML3p_2.3.4     NEIm_1.2      NEIm_1.3      NEIm_1.4      NEIm_2.3      NEIm_2.4      NEIm_3.4      NEIv_1.2      NEIv_1.3      NEIv_1.4      NEIv_2.3      NEIv_2.4      NEIv_3.4   
  1    21700.008263  60959.215363  81886.927169   3060.992742      1.518071   1549.971230     35.941774     84.312658     35.230281    340.697019  54925.514194   2283.937505     48.779726    399.916375   5214.335218   2309.638224      0.580164      0.559048      0.479377      0.579810      0.551490      0.474948      0.503059      0.258575      0.260876      0.495004      0.285148      0.291616      0.214703      0.213926      0.228274      0.218910      0.218842      0.228275      0.245399      0.174886      0.174651      0.249248      0.199783      0.202889     -0.000088     -0.000039      0.001541      0.000053      0.000005      0.001634      0.001636      0.000007      0.000055      0.006793      0.005212      0.005164      0.000007      0.000024      0.000148      0.000007      0.000026      0.000153      0.000091      0.000081      0.000090      0.001238      0.000887      0.000887      0.000048      0.001629      0.001581      0.000020      0.000146      0.000148     -0.023648     -0.023102      0.165018      0.221931      4.084169      4.114169      4.529012      5.653033     -0.000782      0.037256      0.148280      0.040519      0.149150      0.130641      0.000170      0.001035      0.007091      0.001175      0.006822      0.008516      0.025167      0.100010      0.106414      0.107736      0.000606      0.004297      0.003920      0.003777      0.085050      0.002901      0.044031      0.041564      0.045543      0.041693      0.045576      0.039947      0.007138      0.007649      0.010780      0.007726      0.010809      0.010823      0.044078      0.044054      0.035954      0.033503      0.007572      0.007628      0.008397      0.010481      0.468200      0.483800      0.719000      0.845000      0.240200      0.290800      0.367400      0.304600      0.382600      0.643400      0.072800      0.142800      0.217200      0.231000      0.000648      0.002327      0.008387      0.002509      0.008427      0.006710      0.000011      0.000222      0.002099      0.000258      0.002127      0.001442
  1    10855.884499  24546.345908  19765.074123  68168.594858     11.839862   3625.369362     39.754882    120.420181     40.426818    318.288798  40625.751801   8252.839251     17.112662    439.897750   9266.666631   5075.802585      0.787910      0.806878      0.573220      0.787133      0.805390      0.573142      0.498036      0.458425      0.459414      0.498349      0.384110      0.384343      0.136432      0.127220      0.240002      0.136330      0.128296      0.240373      0.247373      0.228358      0.228124      0.248745      0.224324      0.224666     -0.000049     -0.000027      0.004245      0.000019     -0.000004      0.004290      0.004533      0.000240      0.000262      0.005897      0.001625      0.001603      0.000022      0.000025      0.000407      0.000024      0.000027      0.000464      0.000429      0.000083      0.000083      0.000662      0.000133      0.000129      0.000022      0.004294      0.004271      0.000006      0.000419      0.000413      0.014938      0.022121      0.178527      0.079571      4.250627      4.200067      3.530850      3.951582     -0.000599      0.088515      0.107553      0.090055      0.108292      0.040201      0.000318      0.003558      0.004718      0.003728      0.004716      0.001339      0.059504      0.073726      0.080586      0.081332      0.002009      0.002863      0.002681      0.002659      0.073789      0.002064      0.050147      0.050663      0.054578      0.050547      0.054417      0.046391      0.010582      0.010111      0.010593      0.010141      0.010597      0.009503      0.050360      0.049993      0.041997      0.047056      0.011110      0.010978      0.009228      0.010328      0.640400      0.642200      0.643000      0.599200      0.551000      0.352800      0.298200      0.354400      0.300800      0.377200      0.265400      0.210600      0.087400      0.089000      0.000811      0.005608      0.006882      0.005681      0.006935      0.002791      0.000016      0.000824      0.001170      0.000930      0.001206      0.000225
  1     3196.064430   6997.103561  67926.010639  96367.252458      8.282546   4617.490083     29.633594    163.412566     18.197754    159.771977  37546.243552   5996.652908     15.020199    191.694369   7745.506783    366.519930      0.831800      0.913519      0.763143      0.836751      0.916309      0.763575      0.507445      0.709951      0.706159      0.508144      0.415117      0.409593      0.112836      0.065007      0.180481      0.107155      0.061644      0.180277      0.249577      0.198226      0.199718      0.249569      0.233160      0.232440      0.000044      0.000026      0.004870     -0.000038     -0.000019      0.004807      0.004785     -0.000041     -0.000060      0.005713      0.000868      0.000886      0.000030      0.000032      0.000809      0.000028      0.000030      0.000827      0.000746      0.000021      0.000021      0.000923      0.000048      0.000050     -0.000018      0.004826      0.004845      0.000001      0.000788      0.000790      0.080333      0.084593      0.469275     -0.185688      7.026118      6.804033      2.589710      3.621069      0.000216      0.170203      0.143769      0.168223      0.143054      0.028813      0.000324      0.009194      0.005472      0.008894      0.005335      0.000657      0.110930      0.104451      0.117495      0.116510      0.004420      0.002941      0.003915      0.003847      0.112128      0.002714      0.029794      0.028372      0.039913      0.028222      0.039799      0.028688      0.007054      0.005498      0.005695      0.005426      0.005659      0.002774      0.029857      0.029718      0.017230      0.038493      0.007405      0.007171      0.002729      0.003816      0.802800      0.798200      0.774800      0.390600      0.756000      0.591000      0.205400      0.586400      0.200600      0.229800      0.544800      0.159000      0.046200      0.041600      0.000535      0.005211      0.006108      0.005163      0.006110      0.001022      0.000012      0.001185      0.001396      0.001227      0.001473      0.000038
  1    10042.593232  26532.343729  22993.992085  92896.186070     26.884351   7801.397460      7.436352    122.982983     14.960679    474.224517  17168.641689   7925.379357     34.034818    275.831951   9597.013209   2697.124344      0.650197      0.831793      0.888498      0.631083      0.821287      0.889822      0.489687      0.576159      0.584857      0.490989      0.128213      0.131056      0.181862      0.117695      0.096908      0.191743      0.126488      0.095880      0.248273      0.236168      0.234580      0.249007      0.099305      0.101048      0.000001      0.000009      0.002798      0.000002     -0.000006      0.002790      0.002807      0.000011      0.000018      0.003600      0.000811      0.000803      0.000015      0.000018      0.000233      0.000014      0.000017      0.000216      0.000206      0.000025      0.000024      0.000292      0.000047      0.000047      0.000008      0.002796      0.002789      0.000002      0.000210      0.000208     -0.061678     -0.048793      0.475737     -0.118777      5.250947      5.309297      3.883127      4.230000      0.000074      0.087568      0.082317      0.088227      0.082447      0.026390      0.000283      0.003619      0.002601      0.003746      0.002573      0.000674      0.054642      0.057018      0.067622      0.067793      0.001811      0.001408      0.001790      0.001854      0.061622      0.001265      0.038944      0.032071      0.043841      0.031834      0.043588      0.031138      0.006781      0.005974      0.005806      0.005989      0.005814      0.005233      0.039179      0.038703      0.019347      0.041286      0.007151      0.007230      0.005288      0.005760      0.642400      0.654400      0.884200      0.449000      0.540800      0.571200      0.132000      0.584000      0.144800      0.411000      0.471800      0.032200      0.099400      0.112000      0.000583      0.003226      0.004056      0.003214      0.004029      0.001260      0.000009      0.000395      0.000552      0.000379      0.000511      0.000072
  1    78986.092094  37252.263108  58273.364077   1898.760295      2.355086   1891.102931     47.758995    102.278227     37.786821    465.179383  94262.339113   3509.379949     17.739660    264.727401   7778.469846   1169.723404      0.693223      0.599682      0.323666      0.697095      0.598967      0.319380      0.500608      0.248863      0.246135      0.499016      0.417077      0.415486      0.186334      0.202271      0.203336      0.182237      0.199107      0.201671      0.245283      0.167615      0.167648      0.249636      0.241619      0.241258      0.000020      0.000031      0.001327     -0.000038     -0.000049      0.001258      0.001390      0.000083      0.000094      0.008618      0.007322      0.007311      0.000005      0.000015      0.000099      0.000005      0.000014      0.000086      0.000042      0.000073      0.000066      0.002748      0.002402      0.002396      0.000011      0.001307      0.001296      0.000011      0.000093      0.000087     -0.023094     -0.020511      0.136837      0.369733      3.516039      3.475021      3.496334      5.231201     -0.000451      0.036544      0.209790      0.035137      0.208518      0.201055      0.000240      0.000965      0.012713      0.001018      0.011478      0.010585      0.023388      0.140327      0.149731      0.148856      0.000554      0.008372      0.006637      0.006034      0.115741      0.005080      0.040249      0.038576      0.041226      0.038467      0.041096      0.036831      0.004939      0.004544      0.009906      0.004491      0.009853      0.009823      0.040318      0.040216      0.034015      0.024837      0.005460      0.005397      0.005430      0.008124      0.523200      0.515000      0.607400      0.897000      0.344600      0.225600      0.447400      0.217000      0.440000      0.549800      0.056800      0.271200      0.168800      0.160200      0.000501      0.001674      0.009942      0.001611      0.009871      0.008890      0.000007      0.000081      0.003897      0.000076      0.003859      0.003372
  1    62933.762417  61051.436130  15283.352112  63172.733539      3.822344   1143.771530     32.278508    234.043083     44.979270    316.452704  70435.676221   1357.365511     41.633167     46.354071   6219.405083   9122.843623      0.584097      0.633612      0.685832      0.569525      0.619487      0.686645      0.486988      0.205011      0.208219      0.486240      0.096504      0.098356      0.201976      0.196958      0.204351      0.200235      0.196237      0.202361      0.247176      0.147330      0.149629      0.247505      0.073288      0.075265      0.000142      0.000165      0.015253     -0.000044     -0.000066      0.015044      0.015201      0.000090      0.000113      0.017079      0.001991      0.001969      0.000080      0.000092      0.003553      0.000080      0.000090      0.003573      0.003367      0.000210      0.000212      0.004228      0.000297      0.000299      0.000022      0.015111      0.015088      0.000015      0.003486      0.003491     -0.062610     -0.044375      0.339234      0.338003      2.807621      2.771817      2.882841      2.701912      0.001193      0.185363      0.203533      0.185125      0.203071      0.038660      0.000275      0.013461      0.014514      0.013717      0.015451      0.002998      0.123788      0.136852      0.156634      0.156050      0.007255      0.008076      0.009793      0.010100      0.142563      0.007095      0.082539      0.082774      0.084723      0.081874      0.083779      0.053837      0.016479      0.023191      0.023848      0.023056      0.023703      0.017872      0.083154      0.081727      0.051708      0.051804      0.017193      0.016974      0.017654      0.016546      0.367400      0.370200      0.824200      0.747600      0.151000      0.323800      0.234600      0.325800      0.236400      0.711400      0.111800      0.022000      0.212000      0.213800      0.001688      0.019930      0.022271      0.019667      0.021927      0.004114      0.000047      0.005796      0.007093      0.005792      0.007087      0.000442
  1    11116.574058  34920.947986  27210.932280  83056.682434      5.681720    328.647638     47.549279    266.487411      7.330127    273.870351   3677.206651   5328.283465     48.925062    432.345890   6992.348180   2685.040453      0.627976      0.649543      0.606157      0.626885      0.648960      0.606835      0.499006      0.132001      0.131007      0.498642      0.078379      0.077457      0.196023      0.192144      0.236411      0.194671      0.190544      0.236853      0.249630      0.099471      0.098855      0.249835      0.057933      0.057142      0.000003      0.000008      0.014895     -0.000006     -0.000011      0.014881      0.015026      0.000133      0.000139      0.015064      0.000177      0.000172      0.000046      0.000046      0.004693      0.000045      0.000046      0.004756      0.004787      0.000101      0.000102      0.004856      0.000110      0.000110      0.000005      0.014893      0.014887      0.000001      0.004683      0.004688     -0.009300     -0.002319      0.376343      0.339301      2.833156      2.766538      3.255555      3.352181     -0.000053      0.243220      0.239650      0.243903      0.240175      0.008364      0.000235      0.015322      0.014071      0.015975      0.014691      0.000574      0.166022      0.164451      0.187988      0.188311      0.010396      0.009528      0.009681      0.010196      0.176006      0.008078      0.057601      0.061789      0.062894      0.061581      0.062675      0.037089      0.008579      0.015857      0.015878      0.015836      0.015867      0.010701      0.057804      0.057404      0.035718      0.037839      0.009293      0.009074      0.010678      0.010995      0.422200      0.420000      0.824800      0.783800      0.213200      0.282800      0.240400      0.280600      0.238200      0.749800      0.074600      0.032200      0.208200      0.206000      0.000873      0.017702      0.017688      0.017712      0.017667      0.001150      0.000015      0.007101      0.007032      0.007136      0.007104      0.000054
  1    25144.742101   2179.701591  34979.896454  27417.387548     13.278654   3831.567913     41.715810    446.276519      8.762549    201.150652  17451.983670   6665.397101     48.742276    104.895088   7688.099925   3070.443060      0.927129      0.952409      0.675820      0.918093      0.946332      0.675842      0.466198      0.670881      0.675621      0.468039      0.468855      0.474197      0.050770      0.034057      0.219006      0.057939      0.039064      0.218921      0.248311      0.200178      0.198600      0.248998      0.230224      0.230316     -0.000017     -0.000049      0.031351      0.000041      0.000073      0.031441      0.031134     -0.000235     -0.000267      0.034094      0.002694      0.002726      0.000082      0.000085      0.015492      0.000088      0.000091      0.015585      0.015093      0.000292      0.000297      0.016929      0.000496      0.000506     -0.000032      0.031368      0.031400      0.000002      0.015450      0.015461      0.516943      0.515868      0.303566     -0.009807      2.285654      2.329360      2.431049      2.516109      0.000722      0.441182      0.405634      0.441414      0.406322      0.041346      0.000345      0.045535      0.034073      0.046022      0.035281      0.001374      0.359168      0.340561      0.316081      0.316548      0.037248      0.028682      0.022657      0.023103      0.331643      0.021564      0.032343      0.070530      0.083930      0.070624      0.084088      0.059474      0.010149      0.028704      0.029558      0.028773      0.029705      0.010462      0.032283      0.032355      0.046544      0.067487      0.010209      0.010404      0.010858      0.011238      0.851000      0.856600      0.624000      0.373800      0.831200      0.489800      0.236400      0.495000      0.241600      0.153800      0.470000      0.216600      0.019800      0.025000      0.000741      0.035552      0.038380      0.035546      0.038438      0.003465      0.000022      0.019591      0.021538      0.019594      0.021638      0.000288
  1    54874.085427  44165.271740  98068.311344  21786.339838     27.058311   2127.621819      4.700151    111.807006      1.861777    416.211746  19300.042086   5774.132103     13.717246    182.436705   7880.088659   5538.682280      0.685781      0.704913      0.559648      0.673965      0.690456      0.562129      0.487815      0.297754      0.301689      0.487040      0.250378      0.250232      0.182923      0.176905      0.239043      0.187268      0.182381      0.239539      0.245810      0.186810      0.186659      0.246508      0.169773      0.169935      0.000007     -0.000024      0.004136      0.000009      0.000039      0.004168      0.004247      0.000118      0.000087      0.005092      0.000932      0.000962      0.000020      0.000024      0.000438      0.000021      0.000025      0.000442      0.000429      0.000044      0.000047      0.000547      0.000066      0.000071     -0.000030      0.004129      0.004160      0.000006      0.000419      0.000428     -0.019261      0.010463      0.161836      0.088433      3.730599      3.650987      3.750309      3.840675      0.000277      0.077405      0.087729      0.078601      0.089977      0.021507      0.000259      0.003382      0.003898      0.003131      0.004052      0.000957      0.051997      0.060210      0.064207      0.065236      0.001707      0.002267      0.002131      0.002092      0.060368      0.001594      0.054844      0.054951      0.057769      0.054142      0.057020      0.048808      0.010501      0.011216      0.011416      0.011177      0.011420      0.010951      0.055640      0.054018      0.045754      0.049761      0.011117      0.010880      0.011176      0.011445      0.522200      0.532800      0.686000      0.661400      0.368800      0.304400      0.272600      0.314600      0.282800      0.529800      0.154000      0.121600      0.150200      0.160200      0.000951      0.005529      0.006491      0.005573      0.006571      0.002017      0.000024      0.000872      0.001076      0.000854      0.001154      0.000104
  1    18334.197194  82592.707954  82408.126404  34991.434653     17.204521   4638.111530      9.716813    219.284298      7.627944    466.440545  19558.874394   6375.426366     28.500625    487.455539   7956.621188   3665.889564      0.583373      0.659395      0.689038      0.580224      0.659091      0.693678      0.495588      0.360767      0.364456      0.498031      0.200906      0.199442      0.213581      0.199931      0.207874      0.214747      0.200781      0.206394      0.247339      0.216769      0.217566      0.248136      0.152390      0.151909     -0.000008     -0.000063      0.001549      0.000049      0.000105      0.001661      0.001492     -0.000064     -0.000120      0.002935      0.001323      0.001379      0.000011      0.000013      0.000098      0.000009      0.000016      0.000108      0.000092      0.000025      0.000027      0.000242      0.000097      0.000104     -0.000055      0.001556      0.001612      0.000006      0.000096      0.000095     -0.055867     -0.053886      0.284219      0.011298      4.983573      5.091207      5.094962      5.728216      0.001068      0.043617      0.071033      0.045266      0.074938      0.038653      0.000221      0.001127      0.002156      0.001191      0.002458      0.001510      0.028696      0.049695      0.052463      0.054485      0.000558      0.001303      0.001223      0.001309      0.046441      0.000915      0.038796      0.034028      0.040429      0.034049      0.040561      0.032569      0.006420      0.006586      0.007073      0.006701      0.007235      0.007144      0.038791      0.038719      0.026297      0.036324      0.006727      0.006872      0.006877      0.007732      0.546000      0.548400      0.804800      0.690400      0.347600      0.409200      0.286200      0.413200      0.290400      0.588200      0.214400      0.091000      0.194400      0.198200      0.000665      0.002121      0.003683      0.002203      0.003910      0.001907      0.000021      0.000216      0.000514      0.000232      0.000555      0.000177
